Unnamed: 0,URL,Periódico,Título,Redactor,Cuerpo,Respuesta,Clase,Multi Clase,Anotador,_split
0,https://www.laopiniondemurcia.es/buzzeando/2024/10/01/cantante-famoso-cuela-sorpresa-boda-dv-108608377.html,La Opinión de Murcia,Interrumpen una boda de Murcia tras la aparición por sorpresa de un cantante famoso,Abril Escalante,"En cualquier boda uno de los más elementos más importantes es, sin duda, la música: no solo marca el tono de la ceremonia y de la fiesta, sino que también es el alma del evento. La selección del DJ une a los invitados alrededor de algunos de los temas más icónicos, pero también crea nuevos recuerdos y revive los más importantes para la historia de la pareja. Desde los vals nupciales, más clásicos, hasta los modernos éxitos cada pareja diseña la música de su boda con la intención de crear un ambiente perfecto. Por este motivo, no es de extrañar que contraten desde música en directo hasta bandas profesionales. Así fue el caso de Marian Baeza: cuando la invitaron a la boda de su amiga en el prestigioso restaurante de 'La Cabaña' de Murcia sabía a la perfección que la noche iba a ser inolvidable, pero lo que ocurrió barrió todas sus expectativas. En un vídeo que se ha hecho viral rápidamente, Marian capturo un momento que será inolvidable no solo para la feliz pareja sino también para los invitados: Henry Méndez, el popular cantante dominicano de éxitos como ""Rayos de sol"", hizo acto de presencia por sorpresa en la boda en la boda. La publicación hace que quede claro cómo los invitados, que al principio no dan crédito, se lanzan rápidamente sobre la pista de baile en cuanto el cantante comienza a entonar sus temas. Los comentarios de la publicación también son un poema: desde quienes piden a la pareja que revele cuánto costó o como consiguió dar con él hasta quienes le trasmiten sus mejores deseos.",Henry Méndez,Celebrities,Celebrities,Rafa,train
1,https://www.laopiniondemurcia.es/buzzeando/2024/09/30/descubre-remedio-resfriado-toma-murcia-dv-108740750.html,La Opinión de Murcia,"Descubre el plato típico de Murcia que te cura el resfriado: ""Al día siguiente estás nuevo""",Abril Escalante,"Con el mes de otoño a punto de empezar no solo cambia el color de los árboles y se caen las hojas: también empieza la temida temporada de resfriados y gripes. Conforme bajan las temperaturas y aumentan los virus, es raro quién no está buscando ya remedios para combatir los primeros síntomas del resfriado. Además de seguir las recomendaciones sanitarias, algunos de los alimentos que nos pueden ayudar a preparar nuestro sistema inmune o a reforzarlo cuando aparecen los primeros síntomas son aquellos que contienen mucho líquido. En concreto, los expertos sugieren que las mejoresopcioness suelen ser las sopas de pollo, los tés calientes con miel o los cítricos por su alto contenido en vitamina C. En las últimas horas, se ha hecho viral en redes sociales un vídeo de la influencer murciana Alicia Catalán Ródenas (@kalonbay) donde expresa su incredulidad al descubrir que uno de los remedios ""típicos"" de su tierra contra el resfriado solo se prepara en la Región de Murcia. En uno de sus divertidos vídeos sobre la vida cotidiana, la artista (famosa por sus homenajes de bodypaint a diversas festividades) descubre cómo el plato típico murciano del ""caldo con pelotas"" no es tan conocido en el resto de España como ella podría imaginar. Según ella misma cuenta, este plato que creía universal, es en realidad una tradición casi eexclusivade Murcia y sus alrededores: “Yo era una fiel creyente de que el caldo con pelotas era universal, ¿Nacional? ¿Internacional? No tanto, ¿no? Pero Nacional vale. Y parece ser que solo es de Murcia o de alrededor”. En el vídeo, la creadora de contenido se muestra perpleja al descubrir que este plato -que es un básico para ella contra los resfriados- no se prepara en otras partes del país: “¿Vosotros cómo sobrevivís a los resfriados? Porque de toda la vida tú estás resfriado, un caldico con pelotas” y concretaba: “Tú al caldico con pelotas le echas un chorrico de limón y es que al día siguiente estás nuevo, da igual que tengas la peor gripe, tú al día siguiente ¡Nuevo!”. En concreto, el ""caldo con pelotas"" es un plato que en la Región de Murcia se asocia a las festividades navideñas, pero que también se suele consumir durante los meses fríos. En esencia, es la sopa del cocido o un caldo de pollo en el que flotan unas grandes albóndigas, conocidas como ""pelotas"" que se hacen con una mezcla de carnes y embutidos. La receta, que es tan sencilla como sabrosa, solo necesita magra de cerdo, tocino salado, pechuga de pollo, longaniza, carne picada y condimentos como ajo, perejil, piñones y azafrán. Para prepararla, se amasan todos los ingredientes junto al huevo y el pan rallado, sel es da forma redonda y luego se cocinan junto al caldo. En algunas casas, también se añaden fideos a la sopa para darle más cuerpo y se suele acompañar de un chorro de limón o un vaso de vino tinto.",caldo con pelotas,Gastronomía,"Gastronomía, Turismo, Salud",Rafa,train
2,https://www.laopiniondemurcia.es/buzzeando/2024/10/01/estudio-revela-son-insultos-usados-dv-108795279.html,La Opinión de Murcia,"Estos son los 'insultos' más populares en Murcia según un estudio: ""mucho mejores"" que en el resto de España",Abril Escalante,"Aunque para muchas personas los insultos y las palabras malsonantes puedan parecer poco decorosas, lo cierto es que forman parte del acervo lingüístico y cultural de cada dialecto y de cada territorio. Si bien es cierto que hay que cuidarse de no decirlos delante de los más pequeños, estas expresiones hablan mucho de las costumbres, las tradiciones y el carácter de los colectivos que las utilizan. Lejos de ser solo una herramienta de ofensa, los insultos también son un espejo del ingenio y el humor de cada región, y su estudio resulta interesante respecto a otras variedades similares. Conscientes de esta realidad, los investigadores de la Universidad de Nebrija Jon Andoni Duñabeitia y María Méndez Santos publicaron un estudio exhaustivo sobre los insultos más populares en España, donde también se incluye un mapa lingüístico con esta distribución de improperios por comunidad autónoma. Entre los insultos que el estudio identifica a nivel nacional y que son transversales a casi todas las comunidades están términos como ""gilipollas"", ""idiota"", ""imbécil"" son los que están en el top 3 de ofensas más comunes y se trata de las más utilizadas por los familiares y sencillas que resultan. La metodología para realizar este estudio partía de preguntar a los participantes mediante un cuestionario cuáles serán los tres insultos más utilizados: un procedimiento mediante el cual se recopilaron 83 palabras distintas. De entre el catálogo de insultos de todas las comunidades autónomas, en Murcia destaca la combinación de la creatividad con la expresión casi literaria que tiene cada ofensa. Entre los más populares (más allá de los tres más comunes que son gilipollas, imbécil y subnormal) hay conceptos tan llamativos como ""tontolpijo"", ""ejraciao"", ""follonero"", ""esfarriao"" o ""mindango"". La palabra ""mindango"" según la Real Academia Española se refiere coloquialmente en Murcia a una persona despreocupada, ""camandulera"", socarrona o directamente gandula. Por su parte, el término ""esfarriao"" según el diccionario murciano se refiere a alguien desbaratado o ""con diarrea""; mientras que ""ejraciao"" es una variación de la palabra ""Desgraciado"" propia del dialecto murciano.","""tontolpijo"", ""ejraciao"", ""follonero"", ""esfarriao"" o ""mindango""",Lenguaje,"Turismo, Etimología",Rafa,train
3,https://www.laopiniondemurcia.es/buzzeando/2024/10/15/pueblos-murcia-escandalizada-espana-raros-109329857.html,La Opinión de Murcia,"Estos pueblos de Murcia tienen escandalizada a toda España: ""Los más raros""",Abril Escalante,"Murcia es conocida en toda España como una región muy interesante tanto por historia, como por su gastronomía, sus envididables playas y zonas de costa, su espléndida huerta y por supuesto su acento. Pero además de todas estos estos galones, también esconde un secreto que deja a muchos españoles con la boca abierta de forma recurrente los curiosos nombres de algunos de sus pueblos. Para los autóctonos, acostumbrados desde siempre a estas denominaciones, estos topónimos no son más que parte de su identidad y nombres con los que están acostumbrados a lidiar en el día a día. Sin embargo, para quienes los descubren por primera vez, los nombres de localidades como Las Torres de Cotillas o Alcantarilla generan una gran sorpresa y rápidamente se convierten en material cómico entre las personas de habla hispana que no están acostumbradas a oir hablar de lugares como 'Puente Tocinos'. Este impacto ha sido evidente con la reciente viralización de un vídeo en TikTok, donde la creadora de contenido Cristina Rodríguez Box se ha dedicado a explorar los pueblos con los nombres más raros de España. Uno de los destinos que más ha llamado la atención es, precisamente, la Región de Murcia. En su vídeo titulado ""Los pueblos con los nombres más raros de España: edición Murcia"", Cristina revela los orígenes de estos nombres y desmitifica algunas de las interpretaciones más populares. El primer municipio que menciona Cristina en su vídeo es Las Torres de Cotillas, ubicado en la huerta murciana. A primera vista, muchos podrían pensar que el nombre hace referencia a habitantes chismosos o ""cotillas"". Sin embargo, como explica la tiktoker, su nombre tiene un origen mucho más antiguo: proviene de la invasión árabe del siglo VIII, cuando los conquistadores nombraron al lugar ""las mallas de los godos"", en referencia a las armaduras que estos llevaban en batalla. Con el paso del tiempo, el término árabe que se usaba para ""mallas"", putillas, evolucionó hasta convertirse en ""cotillas"". Además, el nombre ""Torres"" hace referencia a las construcciones a las que la población se trasladó para evitar las plagas de mosquitos que asolaban las zonas bajas. Otro ejemplo sorprendente es el de Javali Viejo y Javali Nuevo, dos pueblos que, pese a lo que su nombre pudiera sugerir, no tienen nada que ver con los animales. Cristina aclara que el origen de estos nombres se encuentra en la frase árabe Jep al Ali, que significa ""la tierra del monte"": lo que revela que el nombre hacereferencia al paisaje y no a la fauna. Por último, Cristina se detiene en Alcantarilla, un gran municipio de más de 40.000 habitantes cuyo nombre siempre ha levantado suspicacias por su evidente relación con las cloacas. Sin embargo, el origen de este nombre también es árabe, y proviene de ""Alcántara"", que significa ""puente"".","Las Torres de Costillas, Javali Viejo, Javali Nuevo",Turismo,Turismo,Tomás,val
4,https://www.laopiniondemurcia.es/buzzeando/2024/10/11/playa-region-murcia-ver-auroras-dv-109194388.html,La Opinión de Murcia,Esta es la playa de la Región de Murcia donde se pueden ver auroras boreales,Abril Escalante,"El deslumbrante fenómeno natural de las auroras boreales (asociado normalmente a las regiones del norte del Planeta) ha sorprendido esta semana a los habitantes de la Región de Murcia al hacerse visibles desde distintos puntos del territorio. Este extraordinario espectáculo de luces se produce debido a que las particulas cargadas del Sol interactúan con la atmósfera terrestre, dando lugar al característico despliegue de colores que normalmente solo se pueden ver en las latitutes más altas. Estos días, debido a un incremento de la actividad solar, estos eventos han llegado hasta España y en concreto hasta la Región de Murcia, tiñendo el cielo de tonalidades rojizas y rosadas. El momento de mayor actividad has sido esta madrugada del 11 de octubre, cuando muchos ciudadadanos de la Región pudieron ser testigos de este festín de auroras boreales: desde el Noroeste de la Región hasta localidades como Corvera o la pedanía de Archivel. Varios aficionados a la fotografía y a la observación astronómica han salido esta noche a registrar las impresionantes imágenes, compartiéndolas con sus vecinos en redes sociales. Un usuario en X (antiguo Twitter) también ha destacado que las auroras boreales fueron visibles desde la playa de Águilas: un enclave que por unas horas se convirtió en un mirador natural para disfrutar del espectáculo de luces. Este no es el único evento curioso que se ha registrado en las playas de Águilas: esta zona de la costa murciana también suele ser testigo de la aparición de fitoplacton bioluminiscente. Un fenómeno que ha dejado impresionantes imágenes de esta ribera.",La playa de Águilas,Turismo,Turismo,Tomás,train
5,https://www.laopiniondemurcia.es/buzzeando/2024/10/10/murcia-cafeteria-bocadillo-grande-espana-dv-109166535.html,La Opinión de Murcia,"Murcia tiene la cafetería con el bocadillo ""más grande de España"": más de medio metro",Marco Gil,"Últimamente escuchamos cada vez más aquello de que las cosas no son como antes: ni en calidad ni en tamaño. Desde los productos del supermercado hasta las porciones de los restaurantes, parece que la inflación no solo ha encarecido todo, sino que también lo ha reducido. No obstante, todavía quedan algunos escondites en el territorio nacional donde las mejores tradiciones permanecen intactas, como la de servir un generoso bocadillo para la hora del almuerzo. En este sentido, hay un sitio en Murcia que se ha pasado el juego: se llama 'El Bocadillón' y se trata de un local de carretera que preserva las mejores longitudes que se le pueden pedir a este elemento de la carta. Con más de medio metro de longitud, muchos clientes describen esta opción de bocadillo como el más grande de España"". Situado en la localidad de Puerto Lumbreras, esta cafetería ofrece tres tipos diferentes de bocadillos: mini, medio y grande con precios que son tan sorprendentes como el tamaño. Dependiendo del tamaño, los precios varían entre 3,5 para los minis y 10 para los más elaborados, aunque el ""Sones"" (un clásico de jamón serrano) cuesta entre 2,5 euros y 6 dependiendo del tamaño. En total, el menú de bocadillos cuenta con 38 opciones entre las que hay auténticas joyas gastronómicas. Por ejemplo, el michelín (con entrecot de lomo bajo de vaca rubia, mahonesa de anchoas y piparras que tiene un precio de entre 5 y 9,90 euros. La opción de bocadillo Chivito: una rica combinación de pollo macerado, bacon, queso cheddar, lechuga, tomate y huevo frito con un precio de entre cuatro y 9,90 euros; el 'Barreriro' (con cordero a la murciana) o el 'Fura' (con lomo a la plancha con champiñones), entre los 3,5 euros y los 7 euros.",El Bocadillón,Gastronomía,"Gastronomía, Turismo",Tomás,train
6,https://www.laopiniondemurcia.es/buzzeando/2024/10/10/trabajador-cafeteria-alerta-espana-huye-dv-109166104.html,La Opinión de Murcia,"El trabajador de una cafetería alerta a toda España: ""huye si ves esto""",Marco Gil,"Todos los locales en España que cuentan con una licencia de apertura deben pasar por controles y supervisiones sanitarias que aseguran el cumplimiento de normas de higiene y seguridad alimentaria. Mediante estas inspecciones se garantiza desde las instituciones públicas que los clientes no corran ningún riesgo al consumir productos de cualquier establecimiento. Pese a que las leyes son claras y las normativas se aplican de manera general, no todos los locales mantienen los mismos estándares de calidad y limpieza. Y es que hay algunas empresas que se toman estos procedimientos con mayor seriedad que otras: un detalle que puede marcar una diferencia crucial en la experiencia y seguridad del consumidor. Un ejemplo paradigmático de esto lo podemos encontrar en la advertencia que ha lanzado el barista y tiktoker @cafesmacaibo, que ha hecho una llamada de atención a los amantes del café de toda España. En un video viral en la plataforma de vídeos cortos, el barista ha puesto el foco en un aspecto que muchos pasan por alto al visitar una cafetería: la lanza de vapor, el dispositivo utilizado para espumar y calentar la leche en bebidas como los capuchinos o los lattes. ""Me está doliendo verla así"", comenta @cafesmacaibo al mostrar una lanza de vapor visiblemente sucia, con restos de leche solidificada en su superficie. La acumulación de leche en este componente, explica, es un caldo de cultivo perfecto para la proliferación de bacterias que ""al final, van a ser perjudiciales para la salud"": un fallo en el mantenimiento de la máquina no solo compromete la calidad del café, sino que puede poner en riesgo la salud de los consumidores habituales de esos establecimientos. El barista va más allá en su advertencia, argumentando que si la lanza de vapor se encuentra en tan malas condiciones e incluso es posible que ""el resto de la cafetera esté en las mismas malas condiciones"". En su mensaje dirigido a otros profesionales del sector, @cafesmacaibo recomienda una solución sencilla pero efectiva: limpiar la lanza de vapor periódicamente con ""una bayeta húmeda solo para la lanza de vapor"". Además también ha subrayado la importancia de no recalentar la leche para evitar roblemas para la salud: ""siempre entre jarra y jarra una rápida limpieza del vaporizador y así lo tendremos todo totalmente limpio para el siguiente café"".",una lanza de vapor visiblemente sucia,Gastronomía,"Gastronomía, Turismo",Tomás,train
7,https://www.laopiniondemurcia.es/buzzeando/2024/10/10/alerta-aemet-llega-septiembre-octubre-dv-106580238.html,La Opinión de Murcia,"Alerta de la AEMET a toda España por lo que llega este octubre: ""60 o 70..""",Silvia López,"Dicen, que&nbsp;cada año el otoño comienza más tarde, y lo cierto es que las temperaturas así lo demuestran. No hay más que mirar los termómetros que se han marcado en Murcia durante estas primeras semanas. Este año, las temperaturas en junio eran inferiores a las de años pasados y este cambio afecta a nuestro modo de vida y a nuestras cosechas. Desde la&nbsp;Agencia Estatal de Meteorología (AEMET), han señalado en una publicación en la red social 'X', (antes conocida como Twitter) un&nbsp;pronóstico que no es nada esperanzador. Y es que&nbsp;la Aemet prevé que las temperaturas serán ""superiores a lo normal"" durante el trimestre comprendido entre agosto, septiembre y octubre.&nbsp;Este periodo comprende sobre todo el periodo de final del verano y la primera parte del otoño. En concreto, la Aemet señala que hay de un&nbsp;""60% a 70% por ciento de probabilidades de que las temperaturas sean superiores a lo normal"". Además, se estima que hay de 40 a 50% de probabilidad de que durante estos tres meses el tiempo sea más seco de lo normal, frente al 20 a 25% de que sea más lluvioso. Lo cierto es que nos encontramos en plena tercera ola de calor, y es que a pocos días de comenzar el mes de agosto, los termómetros van a notar una subida de las temperaturas que hará que se hayan activado las&nbsp;alertas de peligro naranja y amarillo en 16 puntos de España.","""60% a 70% por ciento de probabilidades de que las temperaturas sean superiores a lo normal",Clima,"Clima, Turismo",Tomás,train
8,https://www.laopiniondemurcia.es/buzzeando/2024/10/09/malas-noticias-trabajadores-festivo-nacional-dv-109103251.html,La Opinión de Murcia,Malas noticias para los trabajadores; este es el festivo nacional que desaparece en España,Marco Gil,"Este 2024 los trabajadores españoles se llevan una mala noticia: y es que uno de los festivos más esperados del año se esfuma del calendario. Para muchos, perder este esperado día de descanso -en un contexto donde las condiciones laborales y sociales de los trabajadores siguen resintiéndose después de diversas crisis- es todo un evento dramático. Hace años que la clase trabajadora en España viene echándose a las costillas distintas dificultades, entre ellas las crisis económicas y de la vivienda. La precariedad laboral y el encarecimiento del coste de vida han ido erosionando poco a poco la calidad de vida de millones de personas. Por ejemplo, la jornada laboral de 40 horas semanales que fue aprobada hace cuatro décadas, durante el gobierno de Felipe González en 1982, está sometiéndose actualmente a debate para conseguir reducirse a 37,5 horas con la oposición frontal de las empresas. Mientras tanto, los trabajadores no solo no han visto mejoradas sus condiciones laborales a lo largo de los años: sino que han ido perdiendo derechos, como es el caso del abaratamiento del despido tras la reforma laboral de 2012 o la inflación disparada que hemos estado sufriendo estos últimos años. A este cuadro se suma otra de las grandes crisis: la de la vivienda, donde la especulación inmobiliaria de los grandes capitales (fondos de inversión, empresas y propietarios que tienen muchas viviendas) cada vez hace más difícil el acceso a una vivienda digna. El precio de los alquileres y las cuotas de las hipotecas (empujadas por la subida de los tipos de interés) se han disparado en los últimos años, dejando a muchas familias al borde de la exclusión o del endeudamiento. En medio de este contexto de tensiones y desgaste, los festivos, las vacaciones o directamente los fines de semana se han convertido en un alivio necesario: en un momento para descansar y desconectar. Aunque, también se da el caso en muchas ocasiones que los trabajadores se ven obligados a aprovecharlos directamente para conciliar su vida familiar o sus tareas domésticas ante la imposibilidad de realizarlas en el día a día. Sin embargo este año los trabajadores se llevan una mala noticia: y es que el día 12 de octubre, Día de la Hispanidad, cae en sábado y según la normativa vigente no se va a pasar al lunes. Aunque según el Estatuto de los Trabajadores, el gobierno puede trasladar los festivos que caen en domingo al lunes, pero este beneficio no se aplica a los que caen en sábado. Por lo tanto, este 2024, quienes ya tienen el sábado como día de descanso habitual no percibirán ningún beneficio extra. Pese a todo, aunque este festivo desaparece para muchos, el próximo respiro llegará el 1 de noviembre, cuando se celebra el Día de Todos los Santos.","12 de octubre, Día de la Hispanidad, cae en sábado y según la normativa vigente no se va a pasar al lunes",Turismo,Turismo,Tomás,train
9,https://www.laopiniondemurcia.es/buzzeando/2024/10/08/maxima-indignacion-pasando-prendas-ropa-dv-109083492.html,La Opinión de Murcia,"Máxima indignación por lo que está pasando con estas prendas de ropa en Murcia: ""Me voy a volver loca""",Marco Gil,"Las plataformas y las redes sociales se han convertido en un espacio desde donde muchas personas encuentran el espacio para compartir sus preocupaciones y sus experiencias y para dar voz a los problemas y las situaciones que les parecen inaceptables o indignantes. En su esencia, Internet no solo hace más fácil la comunicación: también es un poderoso medio de denuncia colectiva que va desde el activismo por el cambio climático hasta distintas injusticias sociales donde estos espacios se convierten en el camino para articular vibrantes debates e innovadoras propuestas, en muchas ocasiones incluso adornadas con un toque de humor. En los últimos días, este fenómeno se ha hecho notar también en Murcia: donde el otoño ha dado paso a un escenario de más confusión que frescor. A raíz de un vídeo publicado por la creadora de contenido Carmen Navarro en TikTok, se han creado toda una conversación en torno a las altas temperaturas que están asediando a la Región y que están impidiendo disfrutar a la población de los outfits de entretiempo, entre ellos las gabardinas. Con la tristeza de alguien coartado por la anomalía térmica, Carmen ha admitido en los comentarios de su vídeo que ""las gabardinas son lo más chulo del mundo"", mientras ha compartido su frustración por no poder vestir los ""autums outfits"". Su exposición ha generado un torrente de comentarios, donde muchos usuarios comparten la indignación porque en Murcia todavía se estén sufriendo temperaturas que superen los 30 grados (35 el pasado domingo) en pleno mes de octubre. Desde comentarios en clave de humor hasta descripciones más serias sobre la dificultad para adaptarse al clima, los murcianos están uniéndose en una especie de ""delirio colectivo"", como algunos apuntan en la propia publicación. Algunos bromean sobre lo absurdo de llevar ropa de verano mientras los tops de tirantes ""gritan"" por el frío, y otros lamentan la falta de prendas adecuadas para esta época del año. ""El clima me está volviendo loca"", confiesa la propia creadora.","las altas temperaturas que están asediando a la Región y que están impidiendo disfrutar a la población de los outfits de entretiempo, entre ellos las gabardinas",Actualidad,Moda,Tomás,train
